accession_number	toxo_nonsecreted_gene_name	lopit_prediction
TGGT1_239790		nucleus - non-chromatin
TGGT1_239820		nucleus - non-chromatin
TGGT1_239870		nucleus - chromatin
TGGT1_239930		cytosol
TGGT1_240430		apicoplast
TGGT1_240450		cytosol
TGGT1_240550		mitochondrion - soluble
TGGT1_240590	POLR2E	40S ribosome
TGGT1_240600		apicoplast
TGGT1_240670		mitochondrion - soluble
TGGT1_240690		cytosol
TGGT1_240710		nucleus - non-chromatin
TGGT1_240740		PM - integral
TGGT1_240850		nucleus - chromatin
TGGT1_240890		cytosol
TGGT1_241160		ER
TGGT1_242000		cytosol
TGGT1_242070		IMC
TGGT1_242290		20S proteasome
TGGT1_242330	RPS5	40S ribosome
TGGT1_242380		ER
TGGT1_242460		mitochondrion - membranes
TGGT1_242580		mitochondrion - soluble
TGGT1_242680	RPL24E	nucleus - non-chromatin
TGGT1_242730		cytosol
TGGT1_242800		nucleus - non-chromatin
TGGT1_242840		mitochondrion - membranes
TGGT1_243410		ER
TGGT1_243440	GCN5B	nucleus - chromatin
TGGT1_243490		mitochondrion - membranes
TGGT1_243540		nucleus - non-chromatin
TGGT1_243570	RPS26	40S ribosome
TGGT1_243600		cytosol
TGGT1_243710		cytosol
TGGT1_243910		cytosol
TGGT1_243960		nucleus - non-chromatin
TGGT1_244000		nucleus - non-chromatin
TGGT1_244020		cytosol
TGGT1_244100		nucleus - non-chromatin
TGGT1_244110		cytosol
TGGT1_244150		cytosol
TGGT1_244210	RTF1	nucleus - non-chromatin
TGGT1_244290		nucleus - chromatin
TGGT1_244310	GTP1	nucleus - chromatin
TGGT1_244320	RPL24	60S ribosome
TGGT1_244350		mitochondrion - soluble
TGGT1_244380		nucleus - non-chromatin
TGGT1_244390		cytosol
TGGT1_244440		PM - integral
TGGT1_244650		cytosol
TGGT1_244700		nucleus - chromatin
TGGT1_244880	POLR1A	nucleus - non-chromatin
TGGT1_244910		nucleus - chromatin
TGGT1_245460	RPS8	40S ribosome
TGGT1_245470		nucleus - non-chromatin
TGGT1_245500		cytosol
TGGT1_245620	RPS27A	40S ribosome
TGGT1_245670	PDHE1A	apicoplast
TGGT1_245680	RPL21	60S ribosome
TGGT1_245710		IMC
TGGT1_245730		PM - peripheral 2
TGGT1_246030	MED17	nucleus - chromatin
TGGT1_246040		nucleus - chromatin
TGGT1_246100		cytosol
TGGT1_246170		nucleus - chromatin
TGGT1_246330		cytosol
TGGT1_246500		nucleus - non-chromatin
TGGT1_246510		nucleus - chromatin
TGGT1_246540		mitochondrion - membranes
TGGT1_246600		ER
TGGT1_246620		nucleus - non-chromatin
TGGT1_246630	RPA43	nucleus - non-chromatin
TGGT1_246910		cytosol
TGGT1_247020		nucleus - chromatin
TGGT1_247360		PM - integral
TGGT1_247410	ICAP9	mitochondrion - membranes
TGGT1_247460	PCNA1	cytosol
TGGT1_247470		cytosol
TGGT1_247510		cytosol
TGGT1_247540	ABCG107	PM - integral
TGGT1_247550	HSP60	mitochondrion - soluble
TGGT1_247610		nucleus - non-chromatin
TGGT1_247670		cytosol
TGGT1_247700	AP2XII4	nucleus - chromatin
TGGT1_247730	AP2XII5	nucleus - chromatin
TGGT1_247760		cytosol
TGGT1_248250		nucleus - non-chromatin
TGGT1_248270		nucleus - chromatin
TGGT1_248290		nucleus - chromatin
TGGT1_248370		cytosol
TGGT1_248390	RPL26	60S ribosome
TGGT1_248400		cytosol
TGGT1_248460		PM - integral
TGGT1_248480	RPS9	40S ribosome
TGGT1_248550		PM - integral
TGGT1_248630	ARP1	cytosol
TGGT1_248700	IMC12	IMC
TGGT1_248810	NF7	nucleus - non-chromatin
TGGT1_248870		ER
TGGT1_248950		mitochondrion - membranes
TGGT1_249030		PM - integral
TGGT1_249250	RPL35A	60S ribosome
TGGT1_249320		mitochondrion - membranes
TGGT1_249380	DHHC13	PM - integral
TGGT1_249530		cytosol
TGGT1_249590		20S proteasome
TGGT1_249702		mitochondrion - membranes
TGGT1_249820		apicoplast
TGGT1_249850	GAP40	IMC
TGGT1_249900		mitochondrion - membranes
TGGT1_249920		cytosol
TGGT1_250730		nucleus - non-chromatin
TGGT1_250750		nucleus - non-chromatin
TGGT1_250770		cytosol
TGGT1_250800	AP2XII8	nucleus - chromatin
TGGT1_250830		19S proteasome
TGGT1_250880		cytosol
TGGT1_251490		nucleus - chromatin
TGGT1_251550		cytosol
TGGT1_251680		cytosol
TGGT1_251690		cytosol
TGGT1_251760		cytosol
TGGT1_251810		cytosol
TGGT1_251870	H2Bb	nucleus - chromatin
TGGT1_251950		mitochondrion - soluble
TGGT1_252210		nucleus - chromatin
TGGT1_252220		cytosol
TGGT1_252420	PMRT3	cytosol
TGGT1_252490		cytosol
TGGT1_253070		cytosol
TGGT1_253090		nucleus - non-chromatin
TGGT1_253290		cytosol
TGGT1_253380	AP2III2	nucleus - chromatin
TGGT1_253420		ER
TGGT1_253430		cytosol
TGGT1_253520		nucleus - non-chromatin
TGGT1_253650		apicoplast
TGGT1_253700		PM - integral
TGGT1_253750		nucleus - chromatin
TGGT1_253800		mitochondrion - soluble
TGGT1_253940		PM - integral
TGGT1_253950		nucleus - non-chromatin
TGGT1_254030		mitochondrion - membranes
TGGT1_254060	SRS14A	PM - peripheral 1
TGGT1_254210		nucleus - non-chromatin
TGGT1_254250	PRELID	mitochondrion - membranes
TGGT1_254260		mitochondrion - soluble
TGGT1_254365		PM - integral
TGGT1_254390		PM - peripheral 2
TGGT1_254410		mitochondrion - soluble
TGGT1_254440	RPL12	60S ribosome
TGGT1_254480		cytosol
TGGT1_254490		ER
TGGT1_254520	MED11	cytosol
TGGT1_254540		apicoplast
TGGT1_254580		ER
TGGT1_254650		nucleus - non-chromatin
TGGT1_254690		ER
TGGT1_254710		nucleus - chromatin
TGGT1_254900		20S proteasome
TGGT1_254940		nucleus - chromatin
TGGT1_255220	AP2VIIB3	nucleus - chromatin
TGGT1_255310		nucleus - non-chromatin
TGGT1_255320		nucleus - non-chromatin
TGGT1_255340		nucleus - non-chromatin
TGGT1_255350		nucleus - non-chromatin
TGGT1_255870		nucleus - chromatin
TGGT1_255890		cytosol
TGGT1_255900		ER
TGGT1_256050		cytosol
TGGT1_256060		cytosol
TGGT1_256760	PYKI	cytosol
TGGT1_256770	EIF4A3	nucleus - non-chromatin
TGGT1_256990		cytosol
TGGT1_257040		ER
TGGT1_257060		cytosol
TGGT1_257080		ER
TGGT1_257090		cytosol
TGGT1_257350		nucleus - chromatin
TGGT1_257480		mitochondrion - soluble
TGGT1_257490		cytosol
TGGT1_257510		ER
TGGT1_257530		PM - integral
TGGT1_257560		nucleus - non-chromatin
TGGT1_257680	MLC1	IMC
TGGT1_257740		cytosol
TGGT1_257960		cytosol
TGGT1_257990		cytosol
TGGT1_258050	ALP2A	nucleus - chromatin
TGGT1_258110		ER
TGGT1_258150		20S proteasome
TGGT1_258240		nucleus - chromatin
TGGT1_258410	PHIL1	IMC
TGGT1_258470	IMC24	IMC
TGGT1_258625		mitochondrion - membranes
TGGT1_258650		mitochondrion - membranes
TGGT1_258930		cytosol
TGGT1_259010		PM - integral
TGGT1_259200	NHE1	PM - integral
TGGT1_259240	RPS21	cytosol
TGGT1_259260	FTSH1	apicoplast
TGGT1_259660		cytosol
TGGT1_259690		cytosol
TGGT1_259710		mitochondrion - soluble
TGGT1_259980		ER
TGGT1_260010		cytosol
TGGT1_260170		mitochondrion - soluble
TGGT1_260180	ICAP6	mitochondrion - membranes
TGGT1_260310	ABCB1	PM - integral
TGGT1_260320		nucleus - non-chromatin
TGGT1_260440	NF3	cytosol
TGGT1_260500		IMC
TGGT1_260510		cytosol
TGGT1_260540	IMC14	IMC
TGGT1_260630		ER
TGGT1_260660		mitochondrion - soluble
TGGT1_260870		mitochondrion - membranes
TGGT1_261010		19S proteasome
TGGT1_261030		mitochondrion - soluble
TGGT1_261070	APT1	apicoplast
TGGT1_261210		19S proteasome
TGGT1_261470		nucleus - non-chromatin
TGGT1_261520		nucleolus
TGGT1_261540		nucleus - non-chromatin
TGGT1_261570	RPL7A	60S ribosome
TGGT1_261580	H2AX	nucleus - chromatin
TGGT1_261600		cytosol
TGGT1_261760		ER
TGGT1_261850		apicoplast
TGGT1_261940		PM - integral
TGGT1_261950	ATPB	mitochondrion - membranes
TGGT1_262000	AP2VIIB2	mitochondrion - soluble
TGGT1_262040		cytosol
TGGT1_262070		nucleus - non-chromatin
TGGT1_262100		cytosol
TGGT1_262140		nucleus - chromatin
TGGT1_262390		nucleus - chromatin
TGGT1_262430		apicoplast
TGGT1_262620		nucleus - non-chromatin
TGGT1_262640		mitochondrion - membranes
TGGT1_262670	RPL18A	60S ribosome
TGGT1_262690	RPL27	60S ribosome
TGGT1_262720	EIF1A	cytosol
TGGT1_262750		nucleus - chromatin
TGGT1_262910		ER
TGGT1_263000		nucleus - chromatin
TGGT1_263040	RPS16	40S ribosome
TGGT1_263050	RPL13	60S ribosome
TGGT1_263090		cytosol
TGGT1_263130		cytosol
TGGT1_263180	MYOD	PM - peripheral 1
TGGT1_263260		PM - integral
TGGT1_263300		mitochondrion - membranes
TGGT1_263323	Fis1	mitochondrion - membranes
TGGT1_263430		cytosol
TGGT1_263440	ICAP7	nucleus - non-chromatin
TGGT1_263470	UCHL3	cytosol
TGGT1_263520	SPM1	tubulin cytoskeleton
TGGT1_263530		mitochondrion - soluble
TGGT1_263550		mitochondrion - soluble
TGGT1_263580		nucleus - chromatin
TGGT1_263650		nucleus - non-chromatin
TGGT1_263700	RPS14	40S ribosome
TGGT1_263710	ACAT1A	ER
TGGT1_263720		nucleus - chromatin
TGGT1_263740		mitochondrion - soluble
TGGT1_263870		cytosol
TGGT1_264050		cytosol
TGGT1_264160		mitochondrion - soluble
TGGT1_264440		ER
